,date_index,position,action,profit
0,168,-6.143689659272773,L,9.60522706566394
1,236,3.461537406391166,S,9.437453541472195
2,239,5.453590675785314,S,11.429506810866343
3,245,7.441274546855489,S,13.417190681936518
4,254,8.700450737498528,S,14.676366872579557
5,259,9.326469854042237,S,15.302385989123266
6,303,-5.975916135081029,L,6.223490740892235
7,345,0.24757460581120583,S,6.603167284491125
8,348,1.3938507858375964,S,7.749443464517515
9,360,2.399711197619535,S,8.755303876299454
10,479,-6.355592678679919,L,5.715414448240153
11,483,-7.951772700525602,L,7.311594470085836
12,486,-0.6401782304397656,S,-0.30252168225622
13,544,1.0660401782928517,S,1.4036967264763973
14,547,4.569457607446182,S,4.907114155629728
15,550,6.659673616460211,S,6.997330164643756
16,558,7.892968841086173,S,8.230625389269719
17,685,-0.3376565481835456,L,-0.9117997678884251
18,709,-7.393588205708525,L,6.144131889636554
19,714,-8.444047148804039,L,7.194590832732068
20,735,-9.297074100898726,L,8.047617784826755
21,737,-10.289358706495335,L,9.039902390423364
22,838,-1.2494563160719707,S,5.357241719063509
23,845,-6.60669803513548,L,6.150855353157581
24,862,-6.068486239293989,L,5.61264355731609
25,870,-0.4558426819778987,S,3.193365226762296
26,872,-3.6492079087401947,L,4.973997650211004
27,878,-11.927310445128725,L,13.252100186599534
28,891,1.3247897414708092,S,5.8050525784076115
29,906,4.084432528712227,S,8.56469536564903
30,914,-4.480262836936802,L,6.773444008738679
31,925,-4.368894818915294,L,6.66207599071717
32,928,-12.084092476533186,L,14.377273648335063
33,932,-14.704659060404367,L,16.997840232206244
34,975,2.2931811718018764,S,6.5845637858428105
35,977,3.7820500568220012,S,8.073432670862935
36,983,6.787456515663109,S,11.078839129704043
37,997,11.45745337260199,S,15.748835986642924
38,1001,12.638293467513819,S,16.929676081554753
39,1067,-4.291382614040934,L,6.039771137040141
40,1102,-9.013562454987962,L,10.76195097798717
41,1115,-12.803127062623915,L,14.551515585623122
42,1120,-7.173315540682438,L,8.921704063681645
43,1165,1.7483885229992069,S,4.627602146390885
44,1170,-2.879213623391678,L,7.425499952830577
45,1174,4.5462863294388995,S,8.73131079681481
46,1207,4.853094696537866,S,9.038119163913777
47,1210,7.561620080682729,S,11.74664454805864
48,1236,-4.185024467375911,L,5.208596140021825
49,1240,1.0235716726459145,S,6.4870931597212405
50,1243,2.5946082292154813,S,8.058129716290807
51,1245,-5.463521487075326,L,5.204136515253282
52,1251,-0.259384971822044,S,0.6714577015032148
53,1265,3.171336955314324,S,4.102179628639583
54,1268,-0.9308426733252588,L,4.109610382691088
55,1280,3.178767709365829,S,3.9344066326570584
56,1304,-0.7556389232912295,L,5.57060058612052
57,1319,4.81496166282929,S,15.121384406845038
58,1347,6.603062533598589,S,16.909485277614337
59,1364,7.041568137912947,S,17.347990881928695
60,1376,-10.306422744015748,L,14.60180438753639
61,1381,-11.645630504993562,L,15.941012148514204
62,1383,-15.102592498579853,L,19.397974142100495
63,1385,-17.37752823546974,L,21.67290987899038
64,1392,-18.498286781387478,L,22.79366842490812
65,1454,4.295381643520642,S,9.633245272287724
66,1458,-5.3378636287670815,L,6.776394702257875
67,1461,-15.397987444267628,L,16.83651851775842
68,1472,1.4385310734907932,S,1.4059894976927296
69,1479,0.032541575798063604,L,8.507697881503617
70,1483,8.54023945730168,S,
71,1487,11.908600668750253,S,
72,1504,4.464389772848179,S,
