,day_index,open_close,L/S,profit,trend_predicted
0,-1,-,-,0.0,-
1,3573,O,S,0.0,DOWN
2,3589,C,S,24.471084251395524,UP
3,3589,O,L,0.0,UP
4,3594,C,L,2.437554391223017,DOWN
5,3594,O,S,0.0,DOWN
6,3597,C,S,-1.528948607442402,UP
7,3597,O,L,0.0,UP
8,3602,C,L,-4.7282588555645475,DOWN
9,3602,O,S,0.0,DOWN
10,3608,C,S,7.781001636561541,UP
11,3608,O,L,0.0,UP
12,3620,C,L,20.130512999427083,DOWN
13,3620,O,S,0.0,DOWN
14,3639,C,S,8.713270627070955,UP
15,3639,O,L,0.0,UP
16,3653,C,L,-3.3537424319920035,DOWN
17,3653,O,S,0.0,DOWN
18,3656,C,S,-4.593067117348568,UP
19,3656,O,L,0.0,UP
20,3675,C,L,-4.45534515282921,DOWN
21,3675,O,S,0.0,DOWN
22,3703,C,S,8.025692335598734,UP
23,3703,O,L,0.0,UP
24,3727,C,L,6.546565501888978,DOWN
25,3727,O,S,0.0,DOWN
26,3733,C,S,-3.597204323189686,UP
27,3733,O,L,0.0,UP
28,3737,C,L,1.1745682593125935,DOWN
29,3737,O,S,0.0,DOWN
30,3738,C,S,0.728296664454291,UP
31,3738,O,L,0.0,UP
32,3742,C,L,-1.360875001673577,DOWN
33,3742,O,S,0.0,DOWN
34,3743,C,S,-2.3351435085234584,UP
35,3743,O,L,0.0,UP
36,3747,C,L,-1.552882584651286,DOWN
37,3747,O,S,0.0,DOWN
38,3756,C,S,1.166499778878375,UP
39,3756,O,L,0.0,UP
